x,y,target
0.95729,3.61773,1
-5.63612,-2.37789,0
0.63764,5.19922,1
0.07555,-1.84987,4
-4.94844,-1.33770,0
-1.26322,-1.07709,0
3.17819,-1.52273,7
1.41707,0.93539,3
0.05619,-0.31650,5
-0.72978,1.96529,3
1.72105,-0.27966,8
2.64658,-1.45377,9
0.86579,4.30087,1
0.62850,1.58109,3
-0.74713,0.98955,3
1.25966,2.47453,1
-1.37053,2.87371,2
-4.12039,-1.63859,0
2.27995,-0.87092,7
-2.26291,-0.39779,5
0.14969,0.94279,8
-2.60915,-1.84878,6
-1.56707,3.77586,2
-3.04515,-0.61939,0
-0.88272,2.53564,2
-2.24574,1.76947,3
-1.65225,-2.15525,6
3.31710,-0.53987,9
3.73126,-1.50961,9
3.95668,-1.31851,7
0.34938,1.26196,8
2.06281,-1.62889,9
1.13101,-2.83647,4
2.79032,-1.88730,9
-0.69449,0.72402,2
0.34327,3.16187,1
-0.09405,1.72349,3
0.47932,4.93322,1
0.65715,4.25589,1
2.64277,-2.26494,4
0.54817,-0.17571,9
0.81490,5.03618,1
1.13813,-1.15809,4
1.55106,-1.93344,4
-0.93815,2.51488,2
-3.87022,-4.03880,6
-0.58291,0.67662,3
3.44838,-1.21548,7
2.61588,-1.83461,7
2.69114,-3.73921,4
2.32530,-1.42510,7
-1.29026,0.01364,5
1.08278,4.19314,1
2.67027,-0.98431,9
-4.86122,-1.98566,0
-1.63017,1.83178,2
-0.18539,1.94409,2
0.16786,1.69007,3
2.92011,-0.81279,9
0.93625,4.25032,1
-1.57059,2.50886,1
0.56761,1.72976,1
0.04625,-0.68608,5
-4.54998,-2.22838,0
-2.54831,-2.67664,6
-0.14602,2.82458,3
2.25806,-1.78780,4
0.94872,1.01903,8
0.49089,3.86717,1
-1.94454,-0.59018,0
-0.40852,0.81161,3
2.14363,-1.70604,9
-3.03288,-1.26525,6
-1.69579,0.60179,2
-1.28236,1.20242,6
1.69233,-2.32220,4
2.25999,-1.51086,7
0.33154,2.98500,1
2.11165,-2.42871,4
1.43904,4.58977,1
-0.69675,1.35258,5
1.79015,-3.60378,4
0.68382,3.60609,8
2.75087,-1.28172,9
-0.31766,0.18355,2
1.34779,1.38652,9
3.49812,-2.48293,9
-0.58061,0.17110,8
2.12174,-1.47103,9
-1.19836,-2.67683,6
-1.26478,-0.22611,3
-2.57494,-2.64514,6
1.47933,-1.70763,4
-0.49733,-2.12752,6
0.52891,-0.27902,2
4.84618,-1.87174,9
1.09337,3.88527,1
-2.75171,0.91923,2
-5.47679,-1.90192,0
-1.76142,1.01064,5
2.82795,-2.49584,9
-1.88969,2.98444,2
3.30644,-2.69063,7
2.93533,-1.49476,7
0.81225,0.80286,2
-0.69695,1.28367,8
-0.36440,-0.01762,8
-0.79379,-0.03771,5
-5.12454,-2.97306,0
-3.13000,-1.35508,6
-4.88317,-2.49007,0
-3.11008,-2.01766,0
0.70448,0.80764,2
2.46699,-1.03389,9
-4.11426,-1.87197,0
2.35690,-1.90885,4
4.26114,-1.30071,7
1.51478,0.05509,7
0.63243,4.78871,1
-0.01665,-0.01494,5
3.48490,-1.07196,7
3.33862,-1.74054,9
1.07757,-1.74191,4
-1.44180,-2.70999,6
1.15788,3.14409,1
-0.56101,-0.14959,5
2.69115,-0.04508,7
-3.30876,-2.57688,6
-1.86664,-0.09968,5
-2.75943,-0.42005,0
0.54159,-2.04280,4
0.68886,-0.52860,8
2.37256,0.96093,7
-0.69264,-1.68210,6
1.53979,3.82124,1
0.95634,3.44746,8
3.27472,-1.94206,7
-0.84084,1.27672,3
4.14994,-2.22932,7
0.09986,0.75548,3
1.06969,4.72583,1
-3.44985,-2.91486,0
-0.10467,3.18032,3
1.37253,-1.58713,4
-0.44041,0.09875,5
0.48314,-2.28859,4
-3.38895,-0.39972,0
-2.18124,0.36107,5
2.33979,-2.34272,4
-0.72580,0.58366,0
-1.82667,0.50098,3
-1.24174,-0.31639,5
0.80123,4.25226,1
-2.84512,-0.54807,0
0.06086,0.43743,8
-0.94459,2.91792,3
3.36443,-0.92267,7
-3.27883,-1.62275,0
2.29830,-1.22557,9
-1.55069,-1.92328,6
-2.10301,-0.68862,6
1.99334,-1.14026,9
-1.31551,0.66234,5
1.96134,-2.58779,4
-0.60469,-0.10866,6
1.87612,-1.33159,9
0.36110,2.18507,3
-1.47802,0.66339,5
1.13849,-2.21633,4
-1.10361,1.43712,2
0.63284,-1.04469,4
-1.05239,1.06402,8
2.65180,-0.98238,7
2.03301,-0.53104,7
-1.29292,2.60073,5
0.44266,0.51636,8
-0.71242,3.05080,8
-0.77242,1.79141,8
-0.30621,0.50413,2
-1.08730,-1.57986,6
2.23002,-0.93062,9
-0.96343,1.32539,3
1.12060,3.12443,1
-3.59218,-2.31643,0
3.16321,-1.53322,4
0.60953,3.42468,1
-2.12934,-0.50229,5
2.39352,-2.14028,9
-4.46164,-1.66052,0
-3.00127,-2.72048,6
-0.57589,1.73405,2
0.00055,1.08388,1
2.91143,0.95256,3
-2.09699,-0.51984,0
-2.18973,-0.17180,6
-3.81946,-1.26437,0
-3.88978,-1.40051,0
-0.70818,0.25754,8
-0.31611,2.19315,3
-0.89496,1.14248,2
-3.83291,-1.72740,0
-1.72210,-1.27406,0
-2.46737,-3.07870,6
-5.01638,-3.07260,0
-3.63350,-2.06894,0
0.74232,-1.26824,4
2.88248,-1.79549,7
-1.05067,0.25911,2
3.53194,-1.12483,7
1.29388,4.08317,1
2.47373,-1.30908,9
2.15934,-0.74377,9
0.33620,2.48486,3
2.75178,-1.56500,9
-0.94816,0.36588,8
0.77436,-1.85954,4
-0.44434,0.78782,6
-2.10686,-1.60429,6
0.00238,3.75747,5
0.42112,1.36822,3
-0.89352,0.61174,8
1.20424,4.08666,1
0.39348,2.13124,8
3.41758,-1.04136,7
0.43515,4.27834,1
-0.25881,2.92439,3
5.14006,-1.71720,7
-3.02778,-2.56287,6
-1.11035,2.08289,3
-1.02154,-1.55694,6
-0.11301,2.28976,3
-1.34742,-2.76606,6
-0.37761,1.61806,3
0.51776,0.86310,2
-0.05097,2.85647,3
-1.63017,1.83178,2
-1.37619,1.51925,2
5.31995,-2.43563,7
2.35934,-0.13487,9
-3.90370,4.35622,2
-4.96587,0.74540,3
-1.82295,2.63703,2
2.96299,-1.73671,7
-1.70209,0.42128,5
-0.57079,0.19482,5
1.28361,2.96983,8
1.85845,-0.46541,8
-4.21644,1.94332,2
-5.55577,-1.53772,0
0.70159,4.20923,1
2.29904,-3.17833,4
-0.62640,-1.93544,0
-1.85784,-0.84156,6
-1.66497,0.06421,3
2.57309,-1.10340,7
1.33470,3.74116,1
1.12936,4.04438,1
1.33974,4.49869,1
1.61964,-2.82804,4
3.40518,-1.32337,7
-3.96403,-0.42442,0
-1.60993,2.50342,2
3.68817,-0.58986,9
-2.75320,2.18181,2
-4.92232,-3.48379,0
-1.56836,-1.43150,5
-2.92014,-4.15832,6
-3.26362,-0.94429,0
-1.79125,1.71901,8
3.28766,-0.14846,9
-3.19172,-4.40739,6
-0.89004,2.92660,2
-4.86247,-0.77897,0
-2.75064,-1.59342,0
3.99819,-1.51288,7
-2.61506,1.77771,2
-3.46806,-1.03892,0
2.63126,-2.82097,4
-3.23233,-0.28898,2
-4.77710,-3.44819,0
2.37568,-2.04417,9
1.19623,2.84212,1
-1.66396,-1.94120,6
2.23214,-1.83404,9
-0.89833,1.33455,3
-4.20853,-0.65244,0
-5.80071,0.26765,0
-1.40280,2.63935,2
-5.42428,-1.55127,0
-0.65282,-1.71744,6
-0.42349,0.78077,8
1.44701,-3.66759,4
-3.41025,-1.73045,0
2.24178,-0.20719,7
0.29439,1.15591,2
0.51438,3.91919,1
2.73052,-1.57867,9
-1.22346,-0.28003,5
-2.82303,0.29095,2
2.39539,-2.10761,4
-0.06818,1.98395,8
-1.62655,-0.04683,5
-1.53769,1.22226,2
2.54075,-1.48166,9
4.61250,-1.39851,7
2.64603,-1.64576,9
-1.18195,2.74937,2
2.03370,-1.01993,9
2.26906,-1.19224,7
1.24697,-1.80160,4
0.96589,-1.10086,9
0.12723,2.58760,3
-3.32311,-1.14303,2
0.81755,1.37676,7
-0.08657,1.36663,3
-3.30918,-2.81150,6
-2.14182,1.85837,3
-2.87808,-1.70887,6
-0.64089,0.83707,8
-1.04760,-0.34823,8
-1.27499,0.16066,3
2.51325,-0.26631,7
-3.44867,-0.83082,0
3.55365,-2.17277,9
-2.90864,1.66732,2
3.79302,-1.60603,7
2.37512,-1.42330,9
-4.86210,-2.79105,0
2.07881,-0.23577,5
1.18756,-2.58187,4
-3.53292,-1.54022,5
-0.48336,1.30317,8
2.50255,-1.66904,4
-1.20292,1.46080,3
-0.14711,2.29265,3
0.95969,4.46142,1
4.17375,-1.17499,7
0.35123,-0.47812,8
3.70030,-2.12359,9
3.86077,-2.10027,7
-2.20316,-0.57648,6
-2.54305,1.99644,2
0.88777,2.55553,1
3.73377,-1.03469,7
-2.38908,-1.41253,0
0.17310,-0.06677,5
-1.71210,-1.32772,6
-1.59247,-0.47272,5
-0.16016,1.21489,2
1.57700,-1.44630,9
-2.20092,-0.00745,5
0.86974,-0.75491,4
-1.62546,-3.04728,6
-4.79848,-0.46553,2
-2.53403,0.52561,2
-1.13635,1.75299,2
2.48929,-1.84590,9
-4.38199,-1.59062,0
3.49707,-2.41487,7
2.86796,-0.60576,7
-1.20087,3.85373,2
-0.99160,0.66395,2
-2.10641,-0.72732,6
0.34177,2.69114,3
1.63243,-1.99325,4
-0.69291,3.03525,2
-3.43109,-0.80348,0
-0.44793,2.13244,5
3.49529,-2.16250,9
-4.21189,-2.73669,6
-4.25004,0.78048,2
0.99599,3.45157,1
2.95425,-1.71044,9
-4.27352,-1.71762,0
-1.99408,-1.28965,6
-2.39601,-1.62386,0
1.97003,-0.87705,4
-1.63562,-0.54762,8
2.37680,-3.23127,4
-0.91702,1.36205,3
1.09341,3.36987,1
-0.15330,1.45436,5
1.27317,-1.30396,4
0.01353,1.24106,2
2.80750,-1.63757,9
-1.40668,-0.65306,5
2.53016,-1.97722,7
-0.23338,1.53893,3
0.93719,4.49684,1
-1.39733,0.20310,5
1.76694,-1.33262,4
-1.32473,-0.16757,5
0.24761,3.33452,3
3.09270,-1.69020,7
0.03967,1.52300,3
-0.99932,1.84309,8
-3.04522,-2.22639,6
0.03200,0.55256,2
1.58544,-0.27859,4
-4.30836,-3.38615,6
0.94395,4.79974,1
0.39437,4.09733,1
2.67895,-1.88415,4
-4.93703,-3.48539,0
-3.40217,-1.42026,0
-2.51352,0.64643,5
-0.49729,1.60764,8
-1.71150,-0.91431,6
0.69576,-0.79579,7
2.78633,-2.95816,4
-0.72332,1.17996,2
-0.26800,1.71064,8
-2.46410,-1.77450,0
-0.93930,1.02745,2
-0.38923,-1.17119,5
2.39996,-2.26178,4
-1.24713,0.16640,8
-0.90834,1.66759,3
-4.02935,-1.94693,0
0.22467,-1.41327,6
1.41543,-2.26047,4
-0.50544,-0.02067,8
-3.27193,-1.80437,6
2.48557,-0.17261,4
1.15533,3.84621,1
-0.31275,0.01343,8
1.42934,4.48343,1
-0.25618,-0.38651,5
0.24419,-2.56194,4
1.70904,-0.69220,9
1.58980,-1.36344,4
-1.86619,1.49411,3
-1.01351,2.57096,2
-3.44651,-1.98622,0
-2.93690,-0.72173,5
-3.14145,-1.28224,0
1.69383,-1.83079,7
2.38758,-2.07538,9
-0.52622,0.65723,2
2.05342,-1.32556,9
-0.74056,0.46980,8
2.63031,-1.12640,9
-2.08288,-3.05591,6
-0.17706,-1.43403,5
-1.24833,0.36301,2
2.39324,-1.75429,4
2.47138,-1.99655,4
-2.37419,-2.33233,6
2.28072,-2.06884,4
1.07067,1.29029,8
2.69064,-1.89843,4
1.36711,3.58851,1
2.22141,-2.05535,7
-0.91327,0.17585,5
-0.45351,0.75074,8
1.59694,-0.75059,9
-2.27672,0.59891,5
0.78252,-1.71928,9
0.99323,-1.20951,3
0.75296,0.30349,2
-1.08006,0.04346,5
-0.19418,1.06302,8
-1.85892,0.62409,2
-0.20314,0.42345,2
1.73536,-1.33157,7
-2.60324,0.92782,2
-0.89323,-0.01520,8
2.81698,0.42753,4
1.06243,1.66901,1
1.89442,-1.58758,9
0.10037,0.44483,3
-2.26352,-3.22929,6
-3.51923,-2.34090,0
-1.00736,0.56076,2
0.37467,0.59415,2
4.38284,-1.34229,9
0.37504,3.22504,1
-1.80668,3.06897,2
2.84997,-0.05770,7
-1.69339,1.45860,2
0.31959,4.06196,1
0.55156,2.15926,3
1.03455,-2.02598,4
