x,y,target
-3.22047,6.56238,9
11.76274,-0.54909,2
-3.67300,-8.88037,1
-5.77653,-5.40532,1
1.54515,-0.05304,6
-2.82108,-7.75034,1
-7.01451,-0.50736,4
-0.45059,0.72991,6
-9.09756,1.92455,5
-7.03187,4.67961,7
3.70760,0.60967,4
-5.10511,5.36396,5
-6.88996,4.98316,7
-4.66439,-6.20206,3
10.48205,-4.35703,4
-4.45986,-5.17860,1
-0.26642,0.61315,2
6.66365,1.72740,4
2.25839,6.10363,8
4.42565,-7.58171,0
9.59172,1.15915,2
-5.17684,6.13827,5
-3.83832,8.52808,7
-4.24385,9.09628,9
-5.14114,-5.09645,1
-2.92370,1.21910,4
7.69693,-2.06176,6
2.41731,-9.96569,0
-0.54130,7.58621,9
2.03950,-6.37289,3
-9.65198,-5.99807,8
-8.48303,-3.25490,8
-8.00130,-3.06605,3
1.97127,-7.23339,3
3.61042,3.83745,8
-3.50294,-1.10128,0
-6.77103,6.53002,7
-8.55566,2.34434,5
-5.37266,8.28720,7
1.56397,8.63855,9
5.25147,-7.45764,6
-4.20915,-8.93687,1
2.27634,-6.50033,3
-1.07510,9.60628,7
7.80596,-3.61318,6
-5.48359,3.48893,7
8.18755,-2.57633,2
-3.12356,-7.37259,1
-1.18926,0.13345,2
5.47128,-0.86181,2
11.31364,-0.01684,4
-2.50066,1.78822,4
-8.36781,2.17809,5
13.88040,-0.88073,8
-0.29203,-1.46604,2
9.24396,0.79633,2
6.43280,8.63455,8
4.60142,-0.11617,4
4.25071,8.36563,8
-4.50527,-0.90048,0
-5.99620,5.62267,7
-3.89443,7.08682,7
5.08371,8.59875,8
-7.06700,3.03858,5
-3.10227,-9.35082,1
-6.60365,-3.11622,1
-3.61521,-0.71624,2
-0.80986,-7.34769,3
-4.17134,4.24694,9
7.89223,6.17717,8
-5.54914,4.88996,7
-5.70666,-0.82852,0
14.78941,-1.76730,2
6.27107,-7.86494,6
6.32630,-3.80702,2
-6.03243,-1.07781,3
-3.02329,-8.12604,1
11.82244,-2.51032,2
4.21355,9.31706,8
9.37361,-0.74576,4
-6.25057,-1.92068,1
6.57921,5.42200,8
-9.23968,3.91135,5
3.79381,10.17307,9
-7.11750,5.03439,5
3.81907,-7.80872,0
-0.45743,-8.71319,3
8.86240,-4.07611,2
3.03706,-7.18632,0
12.49657,-0.47215,6
-9.08172,3.84720,5
-6.44554,-0.83374,3
8.50306,-4.08061,6
-3.60983,8.86092,7
-4.24638,-6.96355,1
4.69544,7.56727,8
-3.69338,-0.49252,0
-3.59034,-5.29435,1
11.35180,-2.85252,4
9.26010,-0.45392,2
-5.26866,-4.30152,3
3.62267,-1.22771,6
-6.37646,5.13646,7
1.90775,-1.35430,2
-3.40694,8.04772,7
-0.61637,4.29311,8
-8.92700,3.38756,5
-1.56355,6.74623,9
2.05845,6.79583,9
4.95735,-0.38366,4
-0.17222,1.34624,2
-9.00328,4.12354,5
-6.27444,5.53061,7
4.93548,-6.10516,0
-9.70864,1.66636,5
12.43068,-1.69870,2
1.68271,5.91079,8
0.70281,0.17587,6
-6.47167,5.44398,7
12.48230,1.78436,8
-0.21652,-6.10345,0
6.31583,-9.30599,0
-2.43802,4.55598,9
1.38378,9.94190,9
2.27702,-10.15776,3
4.21382,-7.01060,0
1.49145,3.38029,8
7.46958,0.03754,4
-5.19137,-3.77707,1
-9.40405,1.86184,5
7.21664,-3.39766,4
-6.09652,-6.08577,1
-0.87906,7.91831,9
-3.37085,-6.02791,1
8.92540,4.85950,8
-2.05284,0.46744,6
4.41460,-1.00902,2
-5.20734,-7.92193,1
0.39648,-1.06807,2
-6.04600,4.08446,5
-3.74411,-7.66399,1
11.31227,-7.23572,0
-4.32382,-1.46092,0
4.88713,-8.00189,0
-5.41220,-5.48759,1
10.19684,-5.04425,6
-5.46473,-3.84590,1
-2.20663,-8.94788,6
10.81600,-4.45072,2
6.70131,-3.49258,2
-0.13032,-0.92654,4
3.60326,0.53631,4
-2.71579,-7.60726,1
2.96692,-4.29507,4
-8.78162,2.41314,5
8.69020,-5.32438,0
2.50499,-3.41377,4
-6.27432,5.69565,7
1.26861,8.52716,9
-0.62179,-10.04911,3
-4.82310,5.55148,7
5.69607,-0.93310,2
-0.02374,-9.81939,3
-3.61365,6.42307,9
-5.26802,-1.05027,0
1.15288,9.28720,9
9.32183,-2.16541,4
-0.83320,7.58619,7
7.40100,-1.89975,4
9.81597,-1.93146,2
0.43568,-5.40104,0
-8.31228,2.55376,5
8.73830,-0.61165,2
-6.13872,-5.65185,1
12.36025,-2.20141,2
0.18165,-1.89535,1
-2.37873,-2.16693,3
5.80815,-7.54141,0
0.48340,10.58240,9
-4.57160,-5.76310,1
1.44528,-4.80861,0
0.36821,8.27199,9
7.09005,-8.37153,3
6.44641,2.81002,6
-7.31178,5.92756,7
3.68812,7.89960,9
-1.25478,7.69397,9
8.14263,-3.92997,4
10.51893,-3.38721,4
-7.58771,5.23946,7
-0.18567,-4.91595,1
-4.65113,1.81117,2
-1.78786,-6.73447,1
10.25062,-2.24723,6
-7.05696,-4.12508,3
5.47400,-0.05667,2
0.09262,9.14460,8
0.97025,-7.05055,3
-6.92896,0.64538,6
-3.64295,-8.21811,1
-3.20128,-6.66840,1
-0.48905,-2.84409,0
-0.50481,0.72197,2
-0.11646,5.40556,9
-1.54600,1.70477,2
9.90763,-1.89008,4
-2.37311,-2.28604,0
-5.99359,6.57366,7
0.59851,8.60408,9
-9.19940,-3.73414,8
8.66841,-3.35167,4
-6.03459,-4.41122,1
10.28827,4.28378,8
2.24005,-1.18684,4
-3.55772,-8.02138,1
-3.03849,-4.30664,3
-0.17047,-6.20110,1
-5.33846,1.29241,6
-6.76401,5.60503,7
4.20198,-2.21538,2
-0.49135,4.81293,8
-2.12507,5.05301,5
-3.27707,-0.54799,2
2.87779,-7.52840,0
-4.08590,7.37213,7
-6.64718,6.28061,7
-1.37199,-3.07311,6
9.82662,-5.44609,2
-6.94637,3.79831,7
1.48840,-3.31611,0
-5.63802,4.81744,7
7.04520,11.25423,8
2.61542,9.16021,9
8.72430,1.50738,2
2.46713,9.05553,9
1.73132,-4.66589,0
-7.59644,4.49616,5
-5.95897,-2.34450,1
2.14831,-3.58984,4
12.80214,0.42617,4
-3.62141,8.79773,5
1.57281,1.95946,6
7.20799,8.20997,9
-4.89916,1.17157,2
9.23874,-4.72959,6
6.30714,7.28421,8
1.58227,-0.41512,6
9.21515,-2.19530,4
4.31266,1.78127,2
