x,y,target
-7.00147,-0.96009,1
5.02167,-9.16690,0
-3.21817,1.05164,1
4.00135,0.79490,4
5.57229,-10.15230,0
3.69088,-1.80712,0
-1.76667,4.60705,7
5.86795,1.54771,3
3.48070,-2.72070,5
-3.46798,-7.02830,3
-2.91179,9.03217,8
-3.12916,5.61022,9
-3.66628,0.86825,1
8.07338,-3.40520,3
-1.66968,-8.40922,3
-3.49247,1.27066,1
-8.11859,-4.23384,2
4.69366,-6.21918,0
-1.82958,3.48484,7
8.83647,-4.37419,5
-3.83639,-2.34634,8
6.07711,-1.44395,6
-5.76709,-5.19128,2
4.61456,-9.55023,0
-7.14259,-1.90612,2
-2.10481,-6.87026,3
6.16683,1.46225,6
-4.40452,3.88477,9
-0.45213,5.83314,9
3.08253,8.21260,7
-6.93325,3.10420,8
3.32221,1.95416,9
6.73625,2.10174,4
0.59918,6.02732,9
-2.54949,7.23728,2
-1.39489,-0.39408,1
-5.55806,2.30373,3
-4.48734,-0.36104,1
-5.37805,-0.05325,1
1.42602,5.26078,4
-0.70113,-2.63114,9
-3.62718,0.39134,1
6.67332,4.04351,4
3.63346,6.63076,4
5.79044,2.42076,2
-3.51767,4.47969,6
-1.50591,-3.22423,3
1.29269,6.47120,7
-2.38462,4.05558,7
4.31088,6.49265,4
0.93679,2.52975,7
2.37776,-8.95384,5
-3.33882,0.24697,1
1.48471,-3.18564,9
5.24318,-7.82779,0
-0.16909,1.19789,2
-4.71878,-3.39640,2
-3.15594,-6.94555,3
-2.83358,4.98343,9
-4.23726,0.15400,1
-4.94012,-3.82089,1
-7.71858,1.78327,1
4.31138,7.52852,5
8.38147,-3.37181,0
8.68314,0.49629,6
-2.89148,-3.49812,3
5.38870,5.77530,4
-9.99191,0.19304,8
-5.96173,-0.41539,1
1.52279,-2.46942,0
-4.09244,-4.63894,3
-0.15041,2.41967,9
9.70501,2.23600,6
-0.34284,-10.27555,2
-7.02522,0.80061,6
1.23605,6.26292,4
0.35893,5.60131,7
-2.53223,0.12064,1
5.77613,5.24933,4
-5.46670,1.18750,1
-5.55167,3.20950,5
1.98108,7.40189,4
-4.80537,-2.66423,8
-0.39219,3.70729,9
-5.51518,0.28622,2
-0.20918,0.53445,9
-0.68085,5.81856,9
-0.45610,-2.44316,8
3.44845,3.09680,9
7.13692,3.95302,6
0.56430,-5.81578,3
6.56026,-0.79730,6
0.83137,2.25366,4
1.29319,0.83404,6
3.41149,7.05075,2
-1.70066,7.16191,9
-4.25341,0.82562,1
8.11190,-4.11660,2
2.97263,-8.24103,0
0.98489,-9.72751,5
1.48893,7.03128,9
-8.30027,-4.08444,2
0.77657,7.75112,7
0.31780,3.81078,7
-6.65055,6.37342,2
-6.57276,3.96123,8
-3.58448,2.60751,8
0.53706,-7.26840,5
7.92536,-3.96114,0
5.02014,-0.98707,6
9.35565,-7.10576,0
3.42123,-3.29006,0
1.70075,-2.52999,2
3.21726,1.96995,9
3.62516,-7.43727,0
4.64966,6.77177,4
-1.86522,9.03950,7
-6.21283,3.66388,7
-3.88030,0.22230,1
0.36928,-4.40665,5
-4.20006,7.90684,7
-0.32177,8.06600,9
4.89009,4.97350,4
5.02134,2.49080,6
-7.74527,0.30457,1
1.10944,-3.76937,5
-2.26162,4.16388,7
5.51183,-0.98321,6
2.39957,-4.05802,5
4.81679,-7.07265,0
8.39736,4.77216,4
1.67366,-7.24843,8
-9.39159,1.82135,7
1.07358,-2.89786,6
-6.52558,0.82252,1
-4.24190,-0.22904,8
-0.12546,5.65284,7
