x,y,target
-5.86671,2.51080,9
7.31379,4.22787,2
1.52461,-6.00940,1
-1.32025,-5.97798,1
1.04937,0.39820,6
1.14406,-4.99997,1
-3.47639,-2.21795,4
-0.83355,-0.33845,6
-7.28228,-2.29340,5
-6.61672,0.06322,7
1.92381,1.15226,4
-6.16706,1.09487,5
-6.13777,0.40488,7
-0.22906,-4.78302,3
8.76070,2.91056,4
-0.74878,-5.81397,1
-0.60352,-0.21928,2
3.03719,1.55065,4
-1.41430,4.56720,8
6.04584,-2.52374,0
5.48560,2.60468,2
-5.78868,1.39204,5
-5.35571,3.30239,7
-5.65430,3.10108,9
-1.22388,-5.65127,1
-2.70182,-0.72785,4
6.09257,2.15228,6
6.15018,-4.53524,0
-4.04982,4.39299,9
4.13257,-3.12209,3
2.13996,5.65627,8
-1.76497,-1.81053,8
-3.48828,-4.35366,3
3.86323,-2.88852,3
-0.18033,1.04468,8
-2.08306,-3.00433,0
-5.83784,0.79076,7
-7.41982,-2.00581,5
-5.26126,2.31395,7
-2.79631,5.39415,9
6.35267,-1.80166,6
1.23143,-5.76458,1
4.25121,-3.07128,3
-4.12613,4.76447,7
7.24137,1.57678,6
-6.03232,0.46095,7
6.88451,2.32933,2
1.22432,-5.81277,1
-1.06553,-0.92570,2
4.42493,1.98712,2
6.96742,3.37905,4
-2.77362,-0.09648,4
-7.09158,-1.87346,5
9.32320,5.64026,8
0.38444,-1.85992,2
5.59876,2.84855,2
0.95943,6.53015,8
3.01192,1.30617,4
-0.94738,5.48806,8
-2.87743,-3.24958,0
-6.42036,1.00775,7
-5.73227,2.77567,7
-0.83994,5.50364,8
-6.67579,-0.63053,5
2.12196,-6.11901,1
-3.22619,-5.21012,1
-2.55395,-2.79243,2
2.41670,-4.55209,3
-5.48638,0.80827,9
1.72781,5.37446,8
-6.11097,0.69215,7
-3.60223,-3.58593,0
9.60834,5.10403,2
7.58940,-1.84073,6
5.73067,0.46360,2
-4.21889,-4.19751,3
1.66858,-6.02745,1
8.63701,3.71353,2
-1.43785,6.40291,8
6.90265,3.73104,4
-3.62782,-4.68747,1
1.48680,4.61694,8
-5.75226,0.74807,5
-1.18045,6.96085,9
-6.60844,0.59565,5
5.99017,-3.03939,0
3.25435,-4.90211,3
7.34097,1.79217,2
5.15443,-3.17696,0
7.93161,4.30304,6
-7.49938,-0.75211,5
-4.38611,-3.72121,3
7.64442,1.55483,6
-4.86437,3.50856,7
0.34378,-6.11024,1
-0.58409,5.50389,8
-2.70519,-2.71623,0
-0.18165,-5.49246,1
9.09569,3.94602,4
6.12727,3.11482,2
-1.45412,-5.02224,3
3.09836,0.55202,6
-6.71361,0.39674,7
1.67323,-0.37172,2
-5.07949,3.31716,7
-2.81869,2.39403,8
-6.89618,-1.11484,5
-4.55782,3.14096,9
-2.20082,3.06597,9
3.81803,1.93120,4
-0.92137,0.10951,2
-7.15084,-0.61628,5
-6.01795,0.62683,7
5.33725,-1.31656,0
-6.61054,-0.98522,5
7.96140,3.57437,2
-1.86995,4.25506,8
0.32035,0.07951,6
-6.24357,0.49917,7
7.72579,6.14120,8
1.10234,-2.25687,0
6.98807,-1.74415,0
-4.39075,1.70604,9
-3.08447,5.87011,9
6.13236,-4.81586,3
5.55061,-2.25357,0
-0.89315,0.83962,8
4.83010,2.79844,4
-1.87860,-5.01384,1
-7.72477,-2.13919,5
6.33094,1.38893,4
-1.01207,-5.98939,1
-3.82067,3.11139,9
0.38311,-5.56306,1
3.49326,6.34347,8
-1.72148,-1.04542,6
3.74312,1.36094,2
0.31381,-6.20884,1
0.57402,-1.13886,2
-6.28229,0.33784,5
0.89158,-5.56095,1
9.28910,2.06719,0
-2.26233,-3.33701,0
6.52158,-2.37641,0
-0.94148,-5.67741,1
7.65335,2.85196,6
-2.12795,-5.54454,1
2.23069,-5.45265,6
9.51478,2.85363,2
6.42791,0.93652,2
0.20007,-1.15301,4
2.24947,1.42154,4
1.62002,-5.80375,1
3.94902,-1.85038,4
-7.34140,-1.96066,5
6.31032,2.05071,0
3.13881,-1.41836,4
-6.57968,0.81301,7
-2.94086,5.12699,9
4.05779,-5.89932,3
-5.98088,1.25245,7
4.14931,1.33993,2
3.88723,-4.95085,3
-5.80868,1.80893,9
-3.23118,-3.64260,0
-3.03755,5.60265,9
6.57189,2.50388,4
-3.90432,4.12804,7
6.03243,2.25460,4
7.65511,3.33114,2
2.61038,-3.55476,0
-7.19151,-1.61446,5
5.84834,2.59118,2
-1.33835,-5.89698,1
8.12180,3.37341,2
0.58554,-1.61571,1
-0.85511,-3.32490,3
6.85957,-1.67386,0
-3.83480,5.88197,9
-0.53601,-5.67395,1
2.91239,-2.66639,0
-3.55898,4.44054,9
7.40578,-1.63952,3
2.61593,2.42369,6
-6.52112,0.48657,7
-1.17272,4.82547,9
-4.47170,4.03851,9
6.96773,1.64953,4
8.71538,3.04978,4
-6.56552,0.04073,7
2.04676,-3.90542,1
-4.27304,-0.55012,2
1.63580,-5.11270,1
7.63160,3.24622,6
-2.29317,-4.44176,3
4.01409,2.24875,2
-2.77519,4.32873,8
2.88818,-3.02386,3
-5.49799,-2.68918,6
1.33931,-6.00232,1
0.80897,-5.75219,1
0.83450,-2.67029,0
-0.90782,-0.15852,2
-3.08432,2.90296,9
-2.01153,0.02208,2
7.77894,3.74670,4
-0.81374,-3.51401,0
-6.42248,1.38114,7
-3.54732,5.38190,9
-2.51008,-3.25372,8
7.52709,2.42616,4
-2.13210,-5.46584,1
5.04231,6.60798,8
1.59568,-0.17098,4
1.14842,-5.64337,1
-0.42206,-4.03646,3
2.43994,-4.19694,1
-3.91692,-0.92528,6
-6.54327,0.60561,7
3.67342,0.28410,2
-2.87071,2.45288,8
-4.01077,1.62226,5
-2.16583,-2.37102,2
5.05871,-3.18350,0
-5.87226,2.65223,7
-6.31683,0.96437,7
0.32753,-3.30418,6
8.65666,1.45671,2
-7.01488,-0.49575,7
2.16587,-1.65064,0
-6.41637,0.64846,7
0.09995,8.60733,8
-2.19281,5.65185,9
4.72439,3.03623,2
-2.28044,5.38194,9
2.39475,-1.92533,0
-6.51951,0.65755,5
-3.34841,-4.76585,1
2.68617,-1.70633,4
7.69062,5.19348,4
-4.63473,2.05086,5
0.05864,1.73499,6
1.31899,5.13694,9
-4.06560,-1.38548,2
6.34860,1.48455,6
0.81493,6.37636,8
1.17281,-0.01239,6
6.28944,2.52750,4
1.95268,2.07333,2
7.30201,2.52565,2
-3.20764,4.04138,9
-6.67986,0.09451,7
2.56536,-2.23793,6
-6.17757,0.20962,5
-4.77172,1.80701,5
7.60000,2.52241,2
-0.24396,0.59483,8
-6.79374,-0.46565,5
6.56987,3.11676,2
2.74270,-4.48557,3
3.90732,-2.72072,0
-0.72597,0.79519,4
-3.96228,3.46890,8
6.90989,-0.73017,0
-0.03762,-3.21354,0
-1.55283,-0.76231,6
0.47683,-3.89828,3
8.11974,6.16555,8
-4.64663,4.74229,9
5.23709,-1.77428,6
0.27899,-5.17039,1
-1.33671,-1.82364,3
3.66191,-2.82245,0
4.89994,0.14178,2
2.67310,-5.87280,3
6.42360,-2.19051,0
-2.32945,4.04308,8
2.96404,-4.65153,3
-6.80364,-0.25871,7
6.33047,1.75327,4
3.54260,-3.00493,0
-0.42546,-5.64484,1
2.40502,0.09349,6
3.69269,-4.87184,3
-1.60571,-3.62116,0
8.86328,2.77518,6
6.04612,-0.56037,6
