x,y,target
-2.56290,2.84966,1
6.63950,1.48186,0
-3.42363,1.20558,1
-0.68010,-0.86227,4
7.54362,1.80912,0
1.82427,-0.81176,0
-2.68907,-1.70152,7
-0.48257,0.25241,3
1.27059,-0.67324,5
1.18926,3.10915,3
0.98551,-1.94274,8
-1.23357,-1.59314,9
-3.72037,1.50512,1
-0.14023,1.15972,3
1.92138,2.62603,3
-3.74938,1.27191,1
-0.08742,2.58990,2
3.96125,0.60444,0
-2.51559,-1.31977,7
3.70933,1.88428,5
-0.92862,0.75199,8
0.82053,0.30949,6
-0.14966,4.98758,2
5.16128,1.20002,0
-1.29052,2.22566,2
0.98418,3.22347,3
0.12426,-1.46568,6
-2.40780,0.00986,9
-1.90086,-2.98584,9
-0.28046,-3.75273,7
-1.26373,0.57696,8
-0.61307,-2.03570,9
1.69658,-2.34139,4
-0.57440,-3.67870,9
-1.11062,-1.31057,2
-2.53425,0.90200,1
-1.13323,0.98659,3
-3.37495,2.59908,1
-3.57657,2.73019,1
-0.79420,-3.24702,4
-0.53308,0.52526,9
-3.46610,1.85119,1
1.11018,-2.79160,4
0.50583,-1.94924,4
-1.60685,0.18655,2
0.43552,0.15876,6
-1.08977,1.28896,3
-1.86025,-2.40258,7
-1.74635,-1.16603,7
0.88341,-4.19359,4
-1.95916,-1.76088,7
3.30052,2.42940,5
-3.50447,1.75505,1
-0.49181,-1.49265,9
5.99929,1.59278,0
-2.37220,-0.27400,2
-1.88198,1.54213,2
0.58002,1.63450,3
-2.21562,-1.62585,9
-3.64565,1.97524,1
-1.34913,1.12857,1
-1.92647,1.09660,1
0.57646,-3.35259,5
3.52612,-0.61366,0
2.42695,-1.25248,6
-1.52647,2.33419,3
0.29795,-3.45176,4
0.09091,0.16293,8
-3.39047,3.23109,1
0.19261,0.95560,0
0.10720,1.41433,3
-2.56761,-1.49243,9
1.81063,-0.19680,6
4.37051,2.15218,2
-2.12716,1.82804,6
-0.95613,-2.72554,4
-1.68074,-2.86665,7
-3.23789,1.18694,1
0.91455,-4.01840,4
-3.88124,2.22362,1
-2.27943,0.58973,5
0.12365,-2.86287,4
-0.77365,1.18106,8
