x,y,target
26.34176,-50.94023,9
10.84612,69.25260,2
-68.69511,-31.46271,1
-56.74542,-39.83602,1
21.77768,33.11459,6
-72.93606,-28.54059,1
-0.67064,11.41536,4
2.30751,21.72736,6
44.16160,-4.82966,5
57.34191,-14.83029,7
-1.53454,73.16147,4
34.43155,-32.95296,5
48.08248,-25.63885,7
-28.62607,-18.90568,3
0.19806,54.47425,4
-53.97255,-42.90509,1
17.32377,29.60854,2
17.23633,38.98348,4
64.91464,27.94215,8
-59.08637,29.95529,0
35.08414,43.30925,2
64.67023,-39.12355,5
58.37868,-44.10388,7
41.16240,-54.14078,9
-46.04962,-40.62010,1
7.18914,16.49310,4
3.21029,59.21723,6
-52.07964,-3.48913,0
19.49560,-64.83826,9
-30.79712,28.20112,3
37.56074,12.34795,8
18.71354,-2.20810,8
-21.94517,-21.56533,3
-43.09797,20.58800,3
26.23637,-0.13309,8
-10.19363,1.66545,0
64.04884,-20.71275,7
45.29477,-6.67198,5
72.16005,-31.95771,7
8.14695,-60.90307,9
-71.07915,21.99625,6
-65.02499,-47.56250,1
-51.02819,3.74996,3
33.76064,-54.28407,7
-10.86110,50.64365,6
16.87505,-41.22136,7
25.23630,54.38061,2
-57.72242,-52.93549,1
6.86275,19.26298,2
2.94693,48.53415,2
34.05622,53.77090,4
9.11103,18.28040,4
39.71741,-12.13338,5
42.01603,45.62595,8
-10.43952,27.41307,2
34.08249,54.51255,2
59.96733,27.84620,8
-3.01378,44.58242,4
66.60269,23.37623,8
-8.56921,2.65682,0
67.47584,-22.89967,7
57.33340,-45.54653,7
47.50885,12.96899,8
39.34003,-20.54193,5
-66.03066,-27.68181,1
-53.25352,-38.42044,1
-18.01367,-4.86968,2
-35.67125,13.16179,3
35.47513,-42.96460,9
35.77061,12.37066,8
57.22443,-28.14181,7
-6.22589,-1.38726,0
37.32091,48.72469,2
-54.84637,5.52576,6
-19.56412,53.57471,2
-10.27806,-11.79969,3
-59.50350,-24.27326,1
14.10678,69.92424,2
53.03648,27.21175,8
17.56995,58.58626,4
-49.45449,-32.24501,1
37.05310,18.14257,8
9.85404,-23.66798,5
6.38283,-64.61477,9
33.78288,-21.33830,5
-75.83424,20.98249,0
-42.34107,-8.39835,3
-7.18281,53.17678,2
-67.88282,25.35244,0
35.60171,49.64148,6
37.66088,-18.16391,5
-9.08149,-12.58868,3
-7.62468,49.94878,6
63.42703,-43.22369,7
-63.54589,-44.38712,1
63.29722,26.26305,8
-12.37460,0.11673,0
-54.13763,-43.63591,1
28.82107,51.66433,4
12.72727,72.07678,2
-26.22437,-15.30638,3
2.46877,45.75038,6
63.22498,-33.83326,7
-11.03938,31.51335,2
58.33845,-45.49759,7
54.53708,20.33239,8
47.08927,-4.96351,5
22.77819,-53.72124,9
-6.49613,-48.76789,9
5.22492,61.44122,4
11.73524,22.91913,2
47.21667,-10.76837,5
69.53284,-18.91286,7
-55.15650,33.57854,0
7.65285,-26.15044,5
29.96578,59.76691,2
58.14026,22.83619,8
20.40308,23.58324,6
63.93911,-17.02922,7
40.79725,45.76251,8
-47.78323,15.05912,0
-62.47771,27.37348,0
22.94420,-45.73372,9
11.87643,-61.05877,9
-41.50040,3.90496,3
-58.12292,27.73005,0
28.60639,13.73409,8
-13.42991,64.95770,4
-51.45053,-30.28609,1
11.73427,-26.56257,5
-13.80974,52.99874,4
-40.45750,-38.99250,1
15.69346,-53.79341,9
-66.43378,-31.33935,1
53.40984,33.37772,8
2.77701,20.18887,6
4.84332,51.01640,2
-62.06230,-46.09703,1
-9.05113,26.21575,2
42.19392,-27.97533,5
-66.24126,-44.29043,1
33.36201,38.05816,0
-10.40851,2.15297,0
-67.80083,30.07076,0
-72.02615,-33.89619,1
32.19109,38.25757,6
-54.59141,-39.26454,1
-36.01364,7.23305,6
22.04011,56.83299,2
-10.91792,48.96647,2
-16.21723,21.01200,4
