x,y,target
66.94461,-26.88771,1
-21.58148,81.97327,0
25.70301,-5.66366,1
-50.88848,-58.25409,4
-22.88408,82.06133,0
-14.62097,54.16224,0
14.18862,-63.94903,7
-69.87769,21.72707,3
-13.37987,15.06262,5
-24.42302,35.22705,3
-17.24528,-12.86578,8
9.57564,-50.79297,9
31.34328,-5.98151,1
-57.91422,12.83505,3
-34.82293,34.94355,3
36.15629,-27.40794,1
56.79873,2.71292,2
-0.76128,71.43150,0
23.21924,-53.79458,7
-64.32524,38.87439,5
-25.00935,-5.07667,8
26.45823,29.36224,6
57.52513,0.58930,2
-25.24672,83.05248,0
56.29336,4.52945,2
-36.44498,34.95016,3
26.32347,56.00788,6
15.82834,-45.63176,9
-6.54949,-43.34743,9
13.38799,-78.13276,7
-17.72548,-4.38167,8
-40.88568,-47.62609,9
-28.34187,-72.21250,4
-0.80386,-49.59701,9
14.35307,-29.88475,2
17.37473,-0.01926,1
-45.86802,15.20801,3
40.99379,-11.06515,1
50.89053,-16.48133,1
-16.60279,-63.17318,4
-35.22990,15.46525,9
27.99883,-7.12295,1
-39.58149,-61.89293,4
-23.29151,-49.84533,4
39.69363,2.82774,2
14.43935,43.66785,6
-42.76297,20.00696,3
13.29680,-69.22357,7
35.05483,-56.01628,7
-21.51397,-65.03086,4
6.81668,-73.53225,7
-64.15733,38.66463,5
24.30338,-18.63664,1
-50.52440,-39.11776,9
-16.82509,70.97004,0
37.57419,3.75278,2
43.22138,3.58144,2
-49.29845,17.86542,3
9.73341,-51.40968,9
38.17956,-17.48258,1
7.92530,-5.75386,1
72.99065,-28.79288,1
-0.06470,0.30115,5
-4.49613,82.21324,0
27.12830,50.13871,6
-39.85519,23.06296,3
-33.13519,-64.30181,4
-61.02289,-5.65031,8
47.00842,-17.28626,1
-7.78955,52.51100,0
-25.55579,27.65619,3
-9.39623,-31.03558,9
28.99316,78.59003,6
-27.03608,39.73417,2
14.43742,28.97639,6
-10.32688,-72.45233,4
1.02416,-31.33474,7
35.00656,-16.26721,1
-32.50917,-64.01266,4
42.16749,-23.60978,1
12.20917,15.27427,5
-16.29704,-61.94003,4
-21.27143,-6.48746,8
0.67863,-35.98829,9
60.32660,10.93813,2
-31.88174,-29.36732,9
4.31437,-48.79553,9
-61.57457,7.98284,8
-20.47649,-44.94307,9
-44.93998,-62.49492,6
-69.01978,22.93103,3
32.13862,43.11588,6
-16.52186,-34.04110,4
13.44685,50.94262,6
38.48206,15.79619,2
29.60035,-61.10555,9
34.77063,-23.85302,1
47.44076,26.68516,2
-0.03526,79.86671,0
-51.56022,42.34397,5
-2.46032,-52.81657,9
58.08600,-1.80936,2
34.94520,-60.54989,7
12.80367,-66.77696,7
64.95592,41.22551,2
-21.01078,-9.03396,8
-27.61172,-13.83670,8
-63.18092,40.35398,5
-11.79692,60.84184,0
25.32963,44.52749,6
-19.56904,82.60959,0
-2.03893,57.26237,0
46.10949,19.94821,2
-49.74317,-38.32059,9
-11.85405,78.01060,0
-51.63950,-48.08063,4
38.25775,-58.91163,7
37.45709,-44.33899,7
26.31735,-7.11805,1
-56.83933,30.95389,5
10.78825,-86.62851,7
6.71602,-55.07137,9
-24.54229,-69.47235,4
33.21572,65.93964,6
65.85000,-28.82031,1
3.86128,35.74933,5
24.60210,-45.20150,7
15.42332,56.24539,6
8.00825,21.74269,5
-22.28659,70.13948,0
-40.70161,-63.85779,4
-55.19405,-6.05503,8
32.93665,-42.11373,7
8.15292,42.97465,6
53.56106,-26.66391,1
56.97053,-37.14839,8
10.67660,-73.74625,7
-42.80021,32.61588,3
11.95005,-81.48054,7
53.77056,20.62385,3
30.23708,-9.26652,1
-6.12190,83.57641,0
-38.68609,23.15503,3
-6.40891,-67.82034,4
7.09422,11.19958,5
-10.40709,-72.49470,4
-4.93041,55.72193,0
2.37678,15.97317,5
-5.43942,-65.17407,4
1.92814,75.83820,0
-45.24224,30.02275,3
4.15419,14.61673,5
53.03231,-22.68742,1
-13.05595,69.62143,0
-31.84566,-14.89292,8
-53.52604,21.50421,3
37.91643,-56.21601,7
-2.37898,71.62135,0
-31.61713,-42.05246,9
27.20576,72.44312,6
17.53034,38.53976,6
-2.64736,-32.71287,9
10.88208,14.89004,5
-26.71533,-62.76250,4
11.83683,31.00910,6
-14.15181,-40.77946,9
-36.75382,12.97216,3
-54.93310,29.03576,5
-48.87091,-58.14434,4
58.94514,29.42978,2
0.22058,-66.74810,4
-40.03148,-1.98194,8
38.94534,-47.61075,7
21.96218,-31.09006,7
3.14172,12.75066,5
-47.98988,-10.92078,8
-58.12421,-1.72197,8
-17.61420,-2.03209,8
50.24860,17.14572,2
29.16784,77.22527,6
-5.17844,-48.07197,9
-44.81750,38.69965,3
46.06354,-28.83237,1
-23.62697,87.69975,0
-13.96973,-68.93664,4
58.68337,-26.40605,1
-4.37832,8.83172,5
-17.48195,-48.09563,9
-4.21447,73.03122,0
28.72126,67.10110,6
58.67126,-11.38035,2
9.01624,-9.17087,1
7.55774,-70.73880,3
-22.09811,56.73832,0
18.09679,57.96002,6
-4.40336,82.88081,0
-21.51632,55.21661,0
-61.07016,-7.09123,8
-57.24096,13.74848,3
65.61407,21.47132,2
-16.76500,61.70429,0
-4.64577,51.29894,0
28.30560,44.77045,6
-24.87947,81.12286,0
-15.93965,83.59633,0
-46.84501,-59.43414,4
19.97278,-72.78457,7
59.71992,18.39680,2
35.15275,-53.77322,7
17.37211,-6.25317,1
-6.77464,-34.34834,9
-7.73785,-31.68538,9
-40.47938,27.40874,3
-3.31931,-36.96260,9
-44.22033,-11.36188,8
-25.81057,-26.68984,4
12.87410,32.76371,6
20.38930,26.58210,6
10.06121,8.49599,5
-52.70517,14.68458,3
-20.21270,-8.50615,8
40.57690,-23.32292,1
-42.28314,-4.63312,8
14.91451,-65.87391,7
49.18557,-19.97331,1
-43.29005,32.27138,3
14.85961,-80.41837,7
25.19877,54.29832,6
-21.83089,34.25943,3
29.16732,70.78960,6
-29.56343,29.50239,3
32.62934,75.46866,6
-31.01009,33.47582,3
48.22126,17.10394,2
-37.72771,19.80960,3
37.25893,1.95038,2
63.24072,4.87168,2
20.50562,-80.93730,7
-28.12118,-40.30137,9
50.39137,1.41376,2
-21.07409,38.38578,3
63.74933,30.00415,2
35.56551,-52.51690,7
-13.28718,24.76484,5
14.12360,9.19358,5
-16.47664,-4.69821,8
-50.71266,-10.68113,8
56.71098,-2.82658,2
-18.89312,82.14678,0
65.47609,-22.63744,1
-18.85884,-73.89364,4
-6.81938,49.46187,0
26.30235,78.35216,6
-34.74065,43.23475,3
9.29061,-71.12168,7
62.43348,-31.45796,1
18.30952,-2.91945,1
45.72610,-23.68667,1
-24.04007,-63.85040,4
24.20260,-66.75599,7
-26.06243,69.72807,0
65.33025,6.13290,2
